id|city|osex|cyear|quality|year|buyer.fname|buyer.lname|buyer.ethnicity|buyer.gender|buyer.age|buyer.nationality|house.type|size|n.rooms|n.bathrooms|price
PT-10||Male|2014|Low|2016|Cody|Urland|5|0|44|England||339.37|2|4|356
PT-598||Female|1996||2017|Ivan|Heguy|4|0|73|UK|Quinta|197.31|2|4|333
PT-302|Lisboa||2006|Low|2019|Nicholas|Garcia|4|0|66||Vivenda|342.92|2|3|348
PT-789|Coimbra|Female|1920|High|2018|Daveion|Morton|3|0|58||Quinta|247.42|2|30|297
PT-492|Portimão|Male|1980|High|2020|Thomas|Patrick|4|0|56|USA|Quinta|160.65|2|2|339
PT-723|Lisboa||1975|Perfect|2017|Muhaajir|al-Adel|6|0|23|UK|Apartamento|235.55|2|2|344
PT-1006||Female|2012|Medium|2015|Trent|Brackus|5|0|79|EUA|Quinta|329.36|2|4|321
PT-721|Faro|Male|2004||2022|Justin|Kim|2|0|43|United States of America|Quinta|153.07|2|3|298
PT-1158|Proto|Female|2004|Medium|2018|Deirdre|Samoy|1|1|29||Vivenda|161.79|2|2|390
PT-958|Lisboa|Male|2014|High|2019|Auriel|Cantrell|1|1|54|Prt|Quinta|341.78|2|3|370
PT-960|Lx||2006||2018|Amjad|el-Salam|6|0|54||Apartamento|265.2|2|30|342
PT-1060|Lx|Male|2003|High|2015|Cynthia|Her|2|1|77|USA|Vivenda|128.29|2|4|398
PT-1042|Lagos||||2022|Nakheel|al-Habibi|6|1|41|UK||290.07|2|3|311
PT-180|Lisboa||2005|Perfect|2020|Amber|Salvatore|5|1|41|United States of America|Apartamento|278.57|2|3|320
PT-110|Lisboa|Female|2012|High|2016|Abdul Jabbaar|al-Huda|6|0|39|Portugl|Apartamento|341.22|2|30|249
PT-326|Porto|Female|2001|Medium|2023|Tenzin|Rohilla|2|1|73|UK|Vivenda|254.81|2|2|354
PT-539|Porto|||High|2022|Elfadly|Talain|2|0|40|United States of America|Quinta|280.76|2|30|375
PT-1316|Proto|Female||High|2016|Donald|Apparasu|2|0|39|UK|Vivenda|160.28|2|1|360
PT-381|Portimão|Male|1998|Medium|2016|Margaret|Patterson|5|1|66|UK|Quinta|113.96|2|4|352
PT-1075|Porto|Male|2001|High|2017|Marc|Solomon|5|0|26|PT||217.75|2|2|378
PT-350||Female||Perfect|2016|Preston|Shoemaker|5|0|38|Portugal|Vivenda|297.91|2|2|362
PT-870|Lisboa||1999||2021|Seth-Mitchell|Du|2|0|43|Portugal|Apartamento|238.84|2|2|372
PT-765|Porto||2016||2017|Wyatt|Ironshield|1|0|54|Pt|Vivenda|330.23|2|2|388
PT-639|Lisboa||2013|Perfect|2017|Dorian|Martinez|3|0|44|United States of America|Vivenda|159.18|2|1|375
PT-951|Porto||1960|High|2017|Cinthya|Mesa|4|1|43|Portugal|Apartamento|193.89|2|2|365
PT-437|Lisboa|Male|1998|High|2018|Wajdiyya|el-Hashemi|6|1|51|Pt|Vivenda|246.04|2|4|340
PT-307|Lisboa|Female|2006||2019|Garrett|Quick Bear|1|0|34|USA|Apartamento|340.53|2|3|302
PT-918|Coimbra|Female|2012|Medium|2019|Toni|Qualls|3|1|56|ENGLAND|Apartamento|196.8|2|1|355
PT-332|Lisboa||2003||2021|Jennyfer|Seidel|4|1|40|ENGLAND|Vivenda|116.43|2|2|250
PT-171|||2004|High|2015|Abdul Jabbaar|al-Din|6|0|30|Portugl|Quinta|177.03|2|2|296
PT-75||Female|1920|High|2015|Rawda|al-Rahman|6|1|49|ENGLAND|Quinta|104.92|2|3|407
PT-601|Porto|Male|2008|Very High|2019|Phillip|Banks|1|0|45|ENGLAND|Vivenda|189|2|3|340
PT-1015|Lisboa|Male|1999||2022|Alaina|Chukkapalli|2|1|51|UK|Quinta|268.83|2|3|330
PT-1023|Portimão|Female|||2017|Angel|Griego|4|1|30|Portugl|Apartamento|322.29|2|3|358
PT-76|Coimbra|||High|2020|Steven|Evangelista|1|0|61|England||157.32|2|4|329
PT-268||Male|1920|Perfect|2016|Monica|Nguyen|2|1|56|Portugal|Apartamento|225.28|2|4|412
PT-157|Coimbra|Female||High|2018|Marcos|Parra|4|0|32|EUA|Quinta|325.38|2|2|396
PT-916||Male|1900||2018|Nadeera|el-Bey|6|1|61|Portugl|Quinta|330.26|2|3|349
PT-1212|Porto||1980|Medium|2022|Odalis|Hernandez|4|1|49|UK|Apartamento|243.05|2|3|276
PT-325||Male|2015|Medium|2022|Molly|Watkins|5|1|24|Portugal|Vivenda|192.89|2|3|343
PT-197||Male||Perfect|2021|Donald|Carpenter|5|0|47|Pt|Vivenda|243.69|2|2|390
PT-181|Lisboa|Female|1900|Very High|2018|Raafi|el-Madani|6|0|36||Quinta|220.3|2|4|382
PT-1029|PORTO|Female|1900|High|2016|Cornelius|Palma|1|0|12|Pt|Vivenda|125.37|2|30|393
PT-179|Coimbra|Female||Medium|2023|Wadha|el-Sultana|6|1|38|Portugal||202.12|2|2|349
PT-693|Lisboa|Female|2007|Low|2020|Alejandro|Atencio-Romero|4|0|60|Portugal|Vivenda|143.58|2|4|287
PT-1269|Proto|Female|2007||2018|Naseeba|el-Salem|6|1|56|United States of America|Apartamento|175.77|2|4|365
PT-47|Faro||1900|Low|2015|Erik|Sullivan|5|0|22||Quinta|273.73|2|2|351
PT-602||Female|2012||2016|Hye In|Otwell|2|1|42|ENGLAND|Quinta|328.19|2|3|342
PT-515|Lisboa||1960|High|2017|Maria|Gonzalez|4|1|38|Prt|Vivenda|250.05|2|3|360
PT-378|Lisboa|Female|2015|Very High|2022|Ghassaan|el-Jama|6|0|51|Portugl|Vivenda|338.09|2|2|364
PT-1326|Coimbra|Female|2004|High|2015|Andres|Gallegos|4|0|37|UK|Apartamento|101.53|2|3|320
PT-418|Coimbra|Male|2002||2016|Joshua|Burkepile|4|0|48|Portugal|Vivenda|90.56|2|3|343
PT-926|PORTO|Female||High|2022|Stephani|Crane|2|1|28|Prt|Vivenda|253.83|2|3|382
PT-35|Lisboa|Female||Very High|2019|William|Burciaga Flores|4|0|61||Quinta|315.42|2|3|303
PT-1084|Portimão|||High|2019|Fikra|el-Sharifi|6|1|14||Vivenda|93.92|2|3|373
PT-1162|Coimbra|Male|1999|High|2016|Andy|Naqica|2|0|48|Portugal|Apartamento|313.14|2|4|304
PT-177|Lisboa|Female|2002|Perfect|2021|Maria|West|4|1|46|Portugal||204.71|2|2|371
PT-527|Coimbra|||High|2018|Ricardo|Brena|4|0|61|EUA|Quinta|305.5|2|4|364
PT-961|Porto|Male|1980|High|2021|Tristen|Pierson|5|1|52|Portugl||331.82|2|2|339
PT-1070|Lisboa||2001||2020|Luis|Bojorquez Coss|4|0|58|EUA|Quinta|144.74|2|2|313
PT-659||Male||Perfect|2015|Vanna|Marlow|2|1|31|United States of America|Quinta|257.34|2|3|335
PT-714|Proto||1950|High|2021|Chloe|Deloach|3|1|46|USA|Apartamento|283.54|2|3|211
PT-875||Female|2005|High|2022|Huy|Caballero|2|0|20||Vivenda|326.55|2|3|311
PT-1106|LISBOA|Male|1995|Very High|2021|Aiman|al-Mattar|6|0|24||Apartamento|326.55|2|2|320
PT-449|Lisboa|Female||High|2023|Shaamil|al-Beydoun|6|0|30|EUA|Quinta|245.61|2|2|387
PT-248|Lisboa||1980|High|2018|Shaheera|al-Saleh|6|1|61|Pt|Apartamento|216.07|2|4|297
PT-943|Faro|Male|2007||2015|Darion|Peralta|4|0|42|PT|Apartamento|229.18|2|3|326
PT-1333|Porto||1998|High|2020|Adrian|Enos|4|0|65|ENGLAND|Vivenda|296.05|2|30|341
PT-271|Portimão|Female|2006|High|2015|Dewyone|Martin|3|0|45|USA|Apartamento|224.97|2|4|242
PT-1365||Female|1900|High|2018|Amanda|Leung|2|1|34|EUA|Vivenda|107.28|2|4|359
PT-946|Coimbra|||High|2020|Barry|Brown|3|0|17|UK|Apartamento|222.95|2|4|323
PT-237|Porto|Male|1920|Medium|2015|Kameela|al-Mohammad|6|1|62|Portugal|Vivenda|308.48|2|2|390
PT-575|Coimbra||1998|Medium|2018|Malik|Gilbert|3|0|53|Portugal|Vivenda|294.26|2|2|361
PT-1043|Lx|Female||Perfect|2018|Alyssa|Chavez|4|1|81|UK|Apartamento|101.89|2|4|317
PT-1347|Lisboa|Male|1975|High|2022|Roberto|Thompson|4|0|26||Vivenda|319.66|2|4|367
PT-534||Male|2005|Medium|2019|Melanie|Stigall|5|1|74||Apartamento|260.56|2|30|357
PT-255|Lisboa|Female|1998|High|2020|Sandra|Cruz|2|1|36||Apartamento|282.13|2|2|332
PT-512|Lisboa|||High|2019|Shaafi|al-Salama|6|0|65|Portugl|Quinta|253.03|2|4|370
PT-1379|Coimbra||2016|High|2022|Ae|Jhaveri|2|1|62|UK|Vivenda|255.05|2|4|344
PT-475|Faro|Female|1980|High|2017|Karina|Vega|4|1|60||Quinta|229.11|2|3|328
PT-1394|Porto|Male|2004|High|2022|Maeselle|Murphy|1|1|51|Pt||214.19|2|2|322
PT-246|Lagos||2003|Medium|2016|Kenaya|Beyale|1|1|29|United States of America|Quinta|102.19|2|2|341
PT-227|Lisboa|Female|2008|High|2022|James|Warwick|5|0|38|Portugal|Apartamento|181.95|2|3|288
PT-1065|Proto||1920|High|2016|Jacob|Medina|4|0|60|ENGLAND|Apartamento|286.61|2|4|438
PT-1392|Lisboa||2005|High|2019|Jazmine|Kassahun|3|1|42|EUA|Apartamento|289.04|2|1|321
PT-1172|Porto||1998|High|2022|Shane|Taylor|3|0|26|USA|Apartamento|237.76|2|4|353
PT-856|Portimão|Male|2007|High|2023|Frida|Lucero|4|1|51|UK||190.72|2|2|330
PT-1020|Porto|Female|1975|High|2016|Tristan|Cox|5|0|49|PT|Apartamento|214.94|2|4|348
PT-42|Portimão||2015|Very High|2015|Khaalid|al-Younes|6|0|49||Quinta|229.7|2|4|369
PT-102|Lagos|Female|2005|Very High|2016|Cassandra|Smith|5|1|51|Portugl|Vivenda|303.19|2|1|326
PT-748|Lisboa|Male|2013|Low|2017|Himma|el-Samaan|6|1|51|Portugl|Apartamento|263.51|2|3|403
PT-222|Lisboa|Female|2015|High|2016|Raavyn|Wright|3|1|70|England|Quinta|209.13|2|4|307
PT-218|Lisboa||2017|High|2019|Amal|el-Naderi|6|1|41|PT|Apartamento|232.54|2|4|306
PT-632||Male||Low|2015|Brandon|Chavez|4|0|15|Pt|Apartamento|137.43|2|3|337
PT-1163|Coimbra|Male||High|2018|Jasmin|Hines|3|1|58|USA||277.02|2|2|356
PT-834|Proto|Female|2008|High|2016|Xavier|Martinez|4|0|10|Portugal|Quinta|282.5|2|2|348
PT-1389|Lx|Female|2008|Very High|2020|Ngirchoeang|Kim|2|0|51|||163.75|2|3|324
PT-1362|Porto|||High|2022|Gianny|Nocon|3|1|37|EUA|Vivenda|283.92|2|2|349
PT-687|Lisboa|Male|2002|High|2023|Jalaal|el-Yacoub|6|0|57|ENGLAND|Vivenda|326.87|2|3|360
PT-942|LISBOA||1995|Very High|2019|David|Raab|2|0|41||Vivenda|179.4|2|2|308
PT-318|Lisboa||2005|Medium|2019|Paul|Lee|2|0|57|United States of America|Quinta|306.62|2|1|376
PT-1067|||1997|Medium|2019|Brian|Arvelo|2|0|54|PT|Quinta|165.24|2|2|321
PT-11|Lagos||2003||2022|Ashley|Barnes|1|1|34|England|Vivenda|285.29|2|2|330
PT-612|Portimão||1960||2021|Keenan|Lujan|3|0|44|England|Apartamento|315.8|2|3|321
PT-589||Female|2005|High|2021|Brenda|Heredia|4|1|47|EUA|Apartamento|200.36|2|4|273
PT-711|LISBOA|Female|1995|High|2016|Ria|Hosseini|2|1|45|ENGLAND|Apartamento|264.07|2|30|358
PT-989|PORTO||2007|High|2021|Kevin|Tucson|1|0|32|USA|Apartamento|224.07|2|3|372
PT-872|Porto|Male|1997||2015|Victor|Holliday|4|0|19|Prt|Apartamento|133.77|2|3|361
PT-439|Lisboa|||Medium|2023|Josie|Xue|2|1|42||Vivenda|213.92|2|3|277
PT-722|Porto|Female|1920||2015|Erin|Sanchez|4|1|66||Apartamento|307.12|2|3|347
PT-43||Female|2015||2020|Camille|Carey|3|1|42|United States of America|Apartamento|315.84|2|3|359
PT-196||Female|1960|High|2020|Najaat|al-Mousa|6|1|25||Apartamento|295.86|2|1|316
PT-1397|||2004|High|2015|Mumina|el-Asmar|6|1|22||Apartamento|284.5|2|1|309
PT-421||Male||High|2021|Rebecca|Verde|1|1|37|Portugal||184.86|2|1|338
PT-820|PORTO|Male|1950|High|2020|Michael|Mohamed|3|0|41|ENGLAND|Apartamento|339.62|2|2|272
PT-755|Porto|Female|1980|High|2019|Kristine|Delacruz-Moreno|4|1|50|ENGLAND|Vivenda|294.46|2|4|321
PT-323|Lx||1950|High|2019|Johan|Godoy|4|0|44|Prt|Apartamento|280.48|2|3|379
PT-1018|Faro||1960|Low|2022|Nathaniel|Kim|2|0|53|Portugl|Vivenda|194.56|2|3|352
PT-299|Coimbra||1960|High|2022|Hyun-Ah|Lee|2|1|33|England|Quinta|134.99|2|2|316
PT-887|PORTO|Female|1975|High|2015|Kathrine Lou|Petago|5|1|63|Pt|Quinta|187.03|2|2|428
PT-800|Portimão|Female|2016|Perfect|2016|Xitlalic|Maldonado Arrey|4|1|55|ENGLAND|Quinta|341.16|2|2|387
PT-280|Proto||1960|High|2022|Alexandra|Valencia|4|1|42|UK|Vivenda|101.49|2|3|351
PT-1257|LISBOA|Male|1998|High|2023|Ishaaq|el-Shakir|6|0|48|Pt|Vivenda|321.69|2|2|355
PT-1327|Lisboa||2008|Medium|2022|John|Pham|2|0|59|USA|Apartamento|121.05|2|3|360
PT-620|||2005|Low|2023|Lillian|Williams|5|1|30|UK||259.43|2|3|380
PT-833|Lisboa|Male||Low|2018|Tawheeda|el-Baksh|6|1|26|USA|Apartamento|112.9|2|3|404
PT-1165|Proto||1975|High|2018|Sanna|Sater|2|1|40|ENGLAND|Apartamento|119.71|2|3|296
PT-545||||Very High|2022|Saige|Wing|1|0|55|EUA|Apartamento|246.03|2|4|442
PT-1074|Lisboa|Male|2014|Very High|2015|Mushtaaqa|el-Saeed|6|1|49|Prt|Apartamento|133.76|2|4|416
PT-744|LISBOA||2004|Low|2016|Nicole|Bell|3|1|61|Portugl|Vivenda|313.96|2|3|377
PT-41|PORTO||1997|Medium|2018|Adrian|Matheson|1|0|22|EUA|Quinta|282.19|2|3|323
PT-819|||2006|High|2016|Tamanna|al-Gad|6|1|56|ENGLAND|Apartamento|305.91|2|4|377
PT-63|Faro|Female|||2021|Sara|Confer|1|1|35|Portugal|Vivenda|289.06|2|4|311
PT-273||Male|1960|High|2019|Deisey|Le|2|1|62|Portugal|Quinta|264.68|2|4|304
PT-683|Porto|Female|2006|High|2015|Kathryn|Mathys|2|1|44|Prt|Apartamento|119.73|2|2|354
PT-688|Lisboa|Female|1975|High|2015|Andrew|Kol|2|0|52|EUA|Quinta|347.75|2|3|367
PT-1010|LISBOA||2016|High|2020|Russell|Porambo|1|0|37|ENGLAND|Apartamento|113.38|2|3|237
PT-1255|PORTO|Female|2005|High|2019|Zaidaan|al-Jamail|6|0|77|ENGLAND|Quinta|211.48|2|2|404
PT-1155|Lx|Male|2005|High|2018|Rick|Nguyen|2|0|30|Portugal|Vivenda|185.22|2|4|311
PT-929|Lisboa|Female|2016|Medium|2018|Marcus|Wiley|3|0|46|Portugal|Vivenda|334.16|2|2|292
PT-428|Portimão||1975|High|2018|Eloyita|Mitchell|1|1|51|UK||228.17|2|4|341
PT-438|LISBOA||2004|High|2018|Justin|Chen|2|0|45|Portugal|Apartamento|95.14|2|2|353
PT-696|Lagos|Male|1975|High|2018|Delaney|Rivera|4|1|58|United States of America|Quinta|259.62|2|30|318
PT-890|Proto|Male|2004|Medium|2016|Judith|Olivares|4|1|16|USA|Vivenda|185.98|2|4|411
PT-1174|LISBOA||2016||2020|Dayne|Woodrow|5|0|44|England|Quinta|243.55|2|2|311
PT-1047|LISBOA|Male|1980|Medium|2020|Jazmin|Jaramillo|4|1|49|Prt||105.68|2|2|379
PT-781||Female|2004|High|2015|Archibald|Long|1|0|55|ENGLAND|Vivenda|220.23|2|4|340
PT-66||Female|2006||2023|Isaiah|Hammond|3|0|47|Portugl|Vivenda|212.06|2|3|434
PT-850|||2000|Medium|2017|Gabrielle|Williams|5|1|57|PT|Quinta|211.18|2|4|392
PT-1335|Lisboa||2012|Low|2017|Tiffany|Kearns|1|1|43|||109.86|2|4|390
PT-1024|Lisboa|Female||High|2017|Hawraa|el-Arif|6|1|51|United States of America|Quinta|285.24|2|1|329
PT-571|||1999|Low|2021|Emilio|Cordova|1|0|20|Pt|Vivenda|240.29|2|2|349
PT-254|LISBOA|Male|2003|Perfect|2020|Trevor|Smith|5|0|33|England||154.38|2|4|325
PT-365|LISBOA|Male|2016|High|2023|Xala|Khan|2|1|71|Portugal|Apartamento|220.39|2|1|299
PT-828|Lisboa|Female|1950||2023|Jayme|Bechtold|5|1|57|Portugl|Apartamento|185.72|2|4|331
PT-668|Coimbra||2003|Medium|2017|Brittany|N'Dianor|3|1|45|Portugal||320.97|2|2|362
PT-341|Faro||2001|High|2022|Taylor|Bartell|1|1|59|Portugal|Apartamento|187.77|2|2|380
PT-830|PORTO||1980|Low|2020|Michael|Sihavong|2|0|35|Prt||347.16|2|2|331
PT-327|Lx||1960|High|2018|Micayla|Caballero Garcia|4|1|37|Pt|Apartamento|269.27|2|3|364
PT-529|Lx|Male||Medium|2023|Sarah|Fermin|2|1|63|UK|Apartamento|185.63|2|2|313
PT-1373|Lx||2016||2022|Courtney|Depperman|5|1|40|United States of America|Vivenda|153.49|2|2|370
PT-743|Lisboa|Male|2005|Low|2019|Jason|Moher|5|0|40||Vivenda|140.98|2|2|321
PT-67|Lisboa|Male|2014|High|2023|Chanse|Freyta|1|0|35|||160.97|2|3|318
PT-393|LISBOA||2014|Perfect|2019|Hailee|Holgate|5|1|56||Quinta|187.33|2|4|349
PT-1352|Lisboa|Female|1980||2019|Benjamin|Wychulis|5|0|33|PT|Quinta|284.18|2|3|393
PT-815|LISBOA|Male|1900||2015|Faadi|el-Hassan|6|0|21||Apartamento|193.3|2|3|358
PT-205|Lisboa||1900|Perfect|2015|Brandon|Gdovin|5|0|60|Portugal|Apartamento|308.27|2|2|380
PT-377|Proto||1950||2020|Brandy|Kling|5|1|39|Prt|Vivenda|261.89|2|2|337
PT-902|Lisboa|Male||High|2018|Frank|Zavala-Garcia|4|0|39|Prt|Vivenda|115.07|2|3|340
PT-203|Coimbra|Female|1900|Medium|2023|Christopher|Mckay|3|0|34|||160.5|2|4|371
PT-26|Lisboa|Female|1960||2018|Alissa|Macias|4|1|27|Portugl|Vivenda|178.94|2|4|326
PT-689||Male|2017|High|2022|Daris|Puckett|1|0|67|United States of America|Apartamento|134.55|2|3|416
PT-762|Lisboa||2001|High|2022|Elika|Dubose|3|1|64|Prt|Vivenda|145.74|2|30|292
PT-315|Lx||2004|Perfect|2023|Christian|Houghteling|5|0|49||Quinta|138.37|2|4|242
PT-49|Proto||1960|High|2022|Mutasim|al-Azimi|6|0|72|PT||251.55|2|2|375
PT-525|Lisboa|Male|1960||2017|Tyler|Manes|5|0|22|England|Vivenda|305.53|2|4|377
PT-804||Female|2014|High|2023|Lauren|Anderson|3|1|46|PT|Quinta|124.06|2|3|347
PT-283||Female|2016|Low|2017|Siedah|Brown|1|1|57|United States of America|Apartamento|247.73|2|30|322
PT-634|Porto|Female||High|2021|Kristhel|Bautista Gutierrez|4|1|31|UK|Vivenda|118.9|2|4|301
PT-832|Proto|Female|1995||2018|Morgan|Ferguson|5|1|33|EUA||203.05|2|2|383
PT-1284|Lisboa||1999|Low|2017|Brandon|Mcatee|5|0|27|Pt||139.7|2|4|305
PT-1381|Coimbra|Female||High|2017|Alys|Ceniceros|4|1|57|Prt|Vivenda|173.32|2|3|359
PT-355||Female||Perfect|2023|Cristal|Plunkett|4|1|66|USA|Vivenda|222.87|2|3|332
PT-1108|Lisboa|Female|2003|High|2016|Elayna|Eagle|5|1|39|PT|Quinta|209.77|2|3|299
PT-257|Lisboa|Female|1975||2017|David|Higgs|5|0|61|UK|Vivenda|93.78|2|2|356
PT-1383|Coimbra|Male|1998|High|2022|Keefe|Martin|3|0|66|Portugl|Quinta|133.76|2|3|342
PT-300|Faro|Male||High|2020|Zakariyya|al-Jaber|6|0|28|ENGLAND|Vivenda|345.6|2|2|357
PT-1100|PORTO||1950|Medium|2020|Brianna|Murray|1|1|38|United States of America|Apartamento|94.02|2|4|403
PT-1124|Faro|Female|1900|Very High|2023|Jacob|Sober|1|0|31|Portugal|Apartamento|284.89|2|2|358
PT-585|PORTO||2005|High|2023|Thomas|Upschulte|2|0|41|EUA|Quinta|178.97|2|4|374
PT-173||Female|1999|Low|2021|Adhraaa|al-Salehi|6|1|46|United States of America|Vivenda|266.12|2|2|375
PT-1265|Faro|Male|2014|High|2015|Tamara|Hines|3|1|56|Portugl|Quinta|326.28|2|4|340
PT-1148||Male|1900|Low|2017|Hannah|Anderson|2|1|42|Pt|Apartamento|166.87|2|3|329
PT-348|PORTO||2012|High|2016|Ariyya|al-Reza|6|1|50|Portugal||237.68|2|4|283
PT-939|LISBOA|Male|1950|Very High|2015|Abigail|Balderrama|4|1|38|Portugal|Vivenda|265.27|2|1|350
PT-786|Coimbra|Female|1996|Medium|2015|Marzooq|al-Shaheed|6|0|41|PT|Apartamento|183.62|2|30|358
PT-883|Portimão||2007|High|2023|Nova|Watkins|1|1|27|Pt||200.77|2|4|366
PT-134|||2014|Perfect|2019|Jennifer|Osterlund|5|1|62|England|Vivenda|190.77|2|3|364
PT-58|Lisboa||2017||2015|Cody|Garcia|1|0|23|United States of America|Quinta|342.62|2|2|396
PT-1334|PORTO|Female|2014|Medium|2020|Hazeela|el-Yassin|6|1|59|Portugal||138.53|2|4|346
PT-1310|Faro||2016|High|2023|Raabiya|al-Tamer|6|1|70||Apartamento|335.12|2|3|349
PT-264|Lisboa|Female|1999|High|2017|Michael|Thompson|5|0|47|EUA|Vivenda|266.93|2|3|400
PT-941|Porto|Female|2000||2019|Serafina|Bernlohr|5|1|37|EUA|Quinta|194.56|2|30|343
PT-250|PORTO||2007|High|2021|Jeremiah|Bradshaw|3|0|31|Pt|Vivenda|219.36|2|1|362
PT-1374|Lisboa|||High|2017|Musaaid|al-Hashem|6|0|36|United States of America|Apartamento|326.24|2|3|353
PT-200|Lagos|Male|2013|High|2023|Javonte|Quintana|1|0|95|PT|Quinta|185.73|2|2|239
PT-769||Female|1999|Very High|2021|Sitaara|al-Salama|6|1|34||Vivenda|178|2|2|335
PT-1195|Portimão|Female|1960|Very High|2020|Haazima|el-Samara|6|1|55|ENGLAND|Apartamento|179.67|2|3|349
PT-565|PORTO|Female|1900||2018|Jose|Torres|4|0|41|Portugal|Apartamento|178.26|2|2|340
PT-389|PORTO||2004|High|2023|Trae|Gandara Payan|4|1|46|United States of America|Apartamento|323.63|2|1|306
PT-1086|Lx||2002|Very High|2022|Shraya|Yanase|2|1|59|Portugal|Apartamento|252.51|2|4|369
PT-190|LISBOA|Male|2000|Very High|2016|Maria|Olivas-Valdez|4|1|46|Portugal|Apartamento|221.09|2|3|414
PT-411|PORTO||1975|High|2022|Taariq|al-Hafeez|6|0|31||Quinta|208.24|2|2|345
PT-1142|Porto|Female|1995|High|2016|Sarah|Thompson|2|1|45||Vivenda|348.08|2|3|342
PT-976|Coimbra|||Medium|2020|Dakota|Matsumoto|4|1|23|United States of America|Vivenda|231.57|2|2|317
PT-112|Lagos|Female|1999|High|2022|Sakeen|el-Ebrahimi|6|0|34|EUA|Vivenda|207.48|2|3|398
PT-258|Proto|Female|2001|Medium|2015|Zion|Toubia Jr|3|1|61|Portugal|Quinta|260.89|2|2|398
PT-656|Coimbra|Female|1975||2020|Cameron|Montez|1|0|48|USA||348.41|2|4|339
PT-4|Lagos|Male|2012|Medium|2016|Miranda|Rocco|4|1|60|Portugl|Apartamento|271.58|2|1|315
PT-291|PORTO|Female|2013|Perfect|2023|Shami|Noriega|2|0|23|||235.33|2|3|337
PT-987|Porto|Male|1960|High|2015|Amayrani|Pacheco|4|1|54|PT|Quinta|216.33|2|4|359
PT-735|Lx|Male|1975|High|2022|Justin|Hernandez|4|0|44||Apartamento|300.23|2|2|300
PT-790|Lisboa|Male|2005|Perfect|2017|Laura|Perry|5|1|44|Pt|Quinta|181.99|2|2|359
PT-276|Lisboa|Female|2013|High|2019|Saydie|Randolph|1|1|65|EUA|Vivenda|195.18|2|4|321
PT-1250|Portimão||2006||2020|Rita|Mcclarie|3|1|17|USA||207.56|2|3|350
PT-596|Lisboa||1975|High|2022|Nina|Scott|3|1|60|PT|Apartamento|277.52|2|1|275
PT-256||Female|2014||2018|Jesse|Cook|1|1|52|||148.99|2|2|426
PT-616|Portimão|Female|1950||2020|Venancio|Lau|2|0|42|Portugl|Apartamento|265.12|2|2|324
PT-915|||2015|Low|2021|Nastashia|Whitlock|1|1|59|United States of America|Quinta|137.83|2|2|341
PT-600|Lisboa||2008|High|2022|Matthew|Aldridge|3|0|4|United States of America|Quinta|129.73|2|2|333
PT-759||Female|2012|High|2023|Tulley|Chen|2|1|49||Apartamento|294.01|2|3|373
PT-1179|Lisboa|Female|1997||2015|Ashley|Berman|5|1|76|Portugal|Apartamento|116.42|2|2|341
PT-85|Lisboa|Female|2014|High|2015|Briana|Mickelson|1|1|50|Portugal|Quinta|250.85|2|1|294
PT-16|PORTO||2017|Medium|2018|Rajeev|Boehlke|2|0|33|EUA|Apartamento|157.32|2|2|361
PT-1189|Proto|Female|2016|High|2022|Brandon|Wu|2|0|19|United States of America|Apartamento|133.29|2|4|389
PT-194|Lisboa|Male|1995|High|2023|Dante|Gebregzabheir|3|0|24|USA||206.91|2|2|317
PT-17|Porto||1975|Medium|2023|Sujee|Norton|2|1|12|Portugal||197.64|2|4|456
PT-822||Male|2000|Very High|2020|Aqeel|al-Salek|6|0|49|England|Vivenda|224.35|2|2|345
PT-974|Lagos||2006|Perfect|2018|Javon|Davis|3|0|23|England|Quinta|179.63|2|2|347
PT-1129|PORTO|Male|1995|Very High|2018|Sabaah|al-Amen|6|0|29|Portugal|Vivenda|339.54|2|1|418
PT-1391|Lx|Female|2003||2022|Yeniffer|Montoya|4|1|46||Vivenda|314.56|3|4|486
PT-699|Lisboa||2000|High|2015|Shanta|Santee|1|1|37|United States of America|Apartamento|149.89|3|4|435
PT-797||Female|2003|High|2022|Kiana|Flinn|2|1|40||Apartamento|347.15|3|3|477
PT-223|Lisboa|Female||High|2020|Mansoor|el-Hasen|6|0|58|Portugl|Vivenda|103.98|3|3|400
PT-219|Porto|Female|2006|High|2015|Noah|Rohr|5|0|40|EUA|Apartamento|315.01|3|3|400
PT-965|Lagos|Female|2007||2017|Trevor|Mock|2|0|41|EUA|Apartamento|260.68|3|3|524
PT-984|Lx||2015||2016|Midori|Borntrager|2|1|41|EUA||286.27|3|2|515
PT-1139||Female|1950||2015|Jessica|Hurtado|4|1|59|Portugl|Vivenda|331.34|3|1|499
PT-993|Lisboa||1996|Very High|2016|Sharla|Thompson|5|1|40|England|Apartamento|155.54|3|4|485
PT-131|Lagos|Female|2006|Low|2020|Erika|Archuleta|4|1|48|PT|Apartamento|180.38|3|4|463
PT-1341|Faro|Female|2004|High|2015|Haley|Durden-Porter|5|1|61|England|Quinta|203.81|3|2|384
PT-424|PORTO||2002|High|2020|Raihaan|el-Shaheed|6|0|63||Quinta|128.14|3|2|502
PT-1045|Coimbra|Female|1950||2020|Moriah|Gill|3|1|67||Quinta|313.08|3|1|479
PT-919|Lisboa|Female|1998|High|2018|Sierra|Bennett|5|1|45|USA|Vivenda|205.92|3|3|355
